mora,atraso,vivienda,edad,dias_lab,exp_sf,nivel_ahorro,ingreso,linea_sf,deuda_sf,score,zona,clasif_sbs,nivel_educ
0,235,1,30,3748,93,5,3500,121543.4,0,214,15,4,3
0,18,1,32,4598,9,12,900,1824.67,1933.75,175,13,1,2
0,0,1,26,5148,8,2,2400,2797.38,188.29,187,15,0,3
0,0,1,36,5179,20,12,2700,121543.4,0,187,2,0,2
0,0,1,46,3960,3,1,3100,2000,11010.65,189,15,0,2
0,22,1,25,4874,9,12,2200,449.92,496.58,220,15,0,3
0,9,1,30,3930,12,8,2100,4827.64,850.21,193,15,0,3
0,8,2,55,4995,23,12,5593.21,10467,18620.8,199,20,0,2
0,2,1,30,5026,3,0,2000,7315.41,0,156,20,0,3
0,0,1,31,4964,3,4,3800,121543.4,0,192,11,0,2
0,0,1,26,4200,8,12,3929.72,6000,502.13,186,16,0,2
0,0,1,50,4995,3,2,6000,2802.74,19020.95,177,12,0,2
0,1,1,21,4315,12,12,1076.94,3900,3796.18,175,15,0,2
0,0,2,41,3687,8,10,2615.68,3500,1825.18,199,15,0,2
0,0,1,30,3779,6,11,850,675,2484.67,168,15,0,2
0,1,1,52,6031,3,12,8000,2709.94,47869.37,197,14,0,2
0,17,1,28,5694,47,0,2800,7324.16,0,175,15,2,3
0,0,1,45,7612,3,4,1053,541.21,0,168,15,1,3
0,0,1,30,3899,10,12,1163.91,8871.27,32.05,168,15,0,2
0,0,1,54,3930,9,12,666.11,2673,4010.56,180,20,0,2
0,25,1,29,4052,11,9,1500,1500,423.93,177,15,1,2
0,2,1,35,3992,8,12,785.06,500,818.8,177,15,1,2
0,2,1,51,4385,12,12,900,121543.4,3672.76,180,15,0,2
0,2,1,29,4904,3,12,905.76,350,1814.11,194,15,0,2
0,1,2,59,5605,9,12,2300,600,5195.7,230,15,0,2
0,2,2,41,4083,3,12,950,121543.4,4444.3,218,20,0,2
0,0,1,22,3382,8,12,2100,900,3533.97,214,7,0,3
0,25,1,23,4205,7,12,2100,1200,1412.51,174,15,1,3
0,6,1,26,5452,3,12,3000,2779.74,1815.53,215,15,0,3
0,0,1,32,4052,3,12,1779.79,121543.4,9389.79,173,15,0,2
0,0,1,30,5209,33,11,18000,13830.18,0,198,15,0,3
